id,a,b,c
3314,0.3,5.57,y
3315,0.63,5.04,y
3316,0.21,5.94,x
3317,0.85,4.71,y
3318,0.05,2.53,y
3319,0.76,2.69,y
3320,0.72,5.11,x
3321,0.77,4.96,z
3322,0.63,8.61,z
3323,0.82,4.09,x
3324,0.42,3.08,x
3325,0.94,2.74,y
3326,0.29,3.68,y
3327,0.11,5.77,x
3328,0.6,10.8,y
3329,0.03,9.76,y
3330,0.08,4.54,x
3331,0.33,4.09,z
3332,0.07,3.59,y
3333,0.71,5.56,x
3334,0.07,1.01,z
3335,0.33,4.61,z
3336,0.36,5.48,y
3337,0.39,4.24,x
3338,0.79,1.32,z
3339,0.6,5.12,z
3340,0.76,4.16,y
3341,0.24,3.82,y
3342,0.29,6.13,x
3343,0.32,6.86,x
3344,0.92,8.85,y
3345,0.45,8.79,z
3346,0.13,5.64,z
3347,0.14,7.54,z
3348,0,4.02,y
3349,0.98,2.56,z
3350,0.23,9.39,y
3351,0.04,2.09,x
3352,0.56,3.6,x
3353,0.82,4.43,y
3354,0.04,6.29,x
3355,0.03,3.9,z
3356,0.88,2.93,y
3357,0.1,4.52,x
3358,0.89,4.89,x
3359,0.88,2.26,y
3360,0.84,5.47,y
3361,0.56,7.04,y
3362,0.47,2.41,z
3363,0.76,6.52,y
3364,0.88,6.31,y
3365,0.7,2.75,z
3366,0.69,5.39,x
3367,0.64,5.75,y
3368,0.83,7.67,y
3369,0.37,3.27,y
3370,0.57,4.11,y
3371,0.63,4.24,y
3372,0.61,6.96,z
3373,0.04,3.64,y
3374,0.02,2.06,z
3375,0.07,6.17,z
3376,0.3,3.01,y
3377,0.13,3.89,x
3378,0.84,4.72,z
3379,0.58,4.29,x
3380,0.54,3.12,x
3381,0.56,6.17,x
3382,0.11,2.87,y
3383,0.5,3.12,z
3384,0.17,6.64,x
3385,0.33,6.78,y
3386,0.29,7.09,y
3387,0.87,4.15,y
3388,0.98,6.96,y
3389,0.45,4.76,z
3390,0.43,1.2,x
3391,0.3,5.91,z
3392,0.26,4.31,x
3393,0.79,6.05,x
3394,0.02,5.13,x
3395,0.03,2.95,x
3396,0.03,3.99,x
3397,0.57,4.99,z
3398,0.89,3.16,y
3399,0.55,6.49,z
3400,0.2,2.65,z
3401,0.79,4.61,y
3402,0.95,5.19,x
3403,0.07,2.3,x
3404,0.37,4.8,x
3405,0.67,6.72,x
3406,0.05,3.51,z
3407,0.75,2.98,y
3408,0.99,5.2,x
3409,0.27,1.87,y
3410,0.14,2.33,y
3411,0.98,4.47,y
3412,0.31,7.13,z
3413,0.57,10.68,y
3414,0.54,5.59,y
3415,0.96,5.28,y
3416,0.45,6.99,x
3417,0.38,4.32,z
3418,0.06,1.61,y
3419,0.67,4.68,x
3420,0.07,5.23,x
3421,0.2,3.15,z
3422,0.92,5.05,z
3423,0.96,4.21,z
3424,0.24,6.64,z
3425,0.41,6.15,z
3426,0.8,3.36,y
3427,0.88,5.76,z
3428,0.96,3.59,x
3429,0.63,2.59,x
3430,0.22,4.8,x
3431,0.53,4.71,x
3432,0.24,3.82,z
3433,0.94,3.54,z
3434,0.02,5.58,y
3435,0.63,6.5,x
3436,0.97,4.39,z
3437,0.11,7.48,y
3438,0.22,2.69,z
3439,0.15,4.65,y
3440,0.35,7.58,x
3441,0.33,3.54,z
3442,0.09,5.97,x
3443,0.97,5.31,y
3444,0.77,4.65,x
3445,0.03,5.12,z
3446,0.95,5.74,z
3447,0.47,6.21,x
3448,0.59,2.41,x
3449,0.99,6.27,z
3450,0.34,3.09,y
3451,0.66,4.78,y
3452,0.05,2.2,z
3453,0.88,11.52,z
3454,0.93,5.59,z
3455,0.95,6.29,x
3456,0.76,4.86,x
3457,0.83,5.47,x
3458,0.48,8.62,x
3459,0.73,4.31,y
3460,0.89,3.88,z
3461,0.06,2.31,y
3462,0.9,2.87,z
3463,0.03,3.61,z
3464,0.32,4.5,z
3465,0.13,4.64,y
3466,0.11,5.06,x
3467,0.51,6,z
3468,0.83,3.25,z
3469,0.45,5.55,z
3470,0.76,1.56,x
3471,0.9,5.92,x
3472,0.31,3.4,y
3473,0.56,2.72,y
3474,1,4.84,z
3475,0.2,6.37,x
3476,0.01,4.7,x
3477,0.3,4.39,y
3478,0.5,4.65,y
3479,0.03,4.78,x
3480,0.87,5.14,y
3481,0.93,2.82,z
3482,0.93,3.34,z
3483,0.05,3.75,y
3484,0.84,6.87,x
3485,0.84,3.16,y
3486,0.56,5.69,x
3487,0.88,4.88,y
3488,0.78,6.76,z
3489,0.9,3.05,x
3490,0.71,5.8,y
3491,0.58,4.17,x
3492,0.49,4.96,z
3493,0.2,8.14,z
3494,0.19,5.34,x
3495,0.84,7.78,z
3496,0.89,4.41,x
3497,0.57,5.66,y
3498,0.36,6.11,y
3499,0.23,5.27,z
3500,0.38,2.63,z
3501,0.57,5.47,y
3502,0.6,1.23,x
3503,0.79,8.25,x
3504,0.5,5.55,x
3505,0.54,5.74,y
3506,0.02,2.74,x
3507,0.78,9.54,y
3508,0.33,4.85,y
3509,0.47,2.73,y
3510,0.73,6.44,x
3511,0.74,4.89,y
3512,0.89,7.18,z
3513,0.3,3.66,x
3514,0.1,5.03,x
3515,0.19,3.03,z
3516,0.26,5.73,z
3517,0.27,4.91,y
3518,0.01,0.75,y
3519,0.92,5.32,z
3520,0.84,0.29,y
3521,0.38,2.36,y
3522,0.5,5.25,y
3523,0.33,8.63,z
3524,0.79,3.05,x
3525,0.78,6.27,z
3526,0.29,5.65,x
3527,0.39,3.27,x
3528,0.58,1.05,y
3529,0.99,1.25,x
3530,0.84,6.11,x
3531,0.73,2.38,y
3532,0.41,-1.92,x
3533,0.96,5.57,y
3534,0.8,7.47,z
3535,0.7,6.6,x
3536,0.74,8.86,y
3537,0.04,3.35,y
3538,0.06,7.35,x
3539,0.9,5.86,z
3540,0.62,6.6,x
3541,0.72,1.49,x
3542,0.01,3.45,z
3543,0.15,3.61,x
3544,0.39,6.53,y
3545,0.71,8.76,z
3546,0.29,2.74,z
3547,0.84,4.08,x
3548,0.81,6.65,x
3549,0.18,5.08,y
3550,0.62,5.08,y
3551,0.1,3.29,x
3552,0.28,5.44,x
3553,0.78,3.24,z
3554,0.44,4.66,z
3555,0.22,6.43,z
3556,0.57,2.85,y
3557,0.78,5.8,y
3558,0.16,8.15,y
3559,0.85,4.95,y
3560,0.25,6.13,x
3561,0.8,3.27,z
3562,0.11,5.09,z
3563,0.58,7.69,y
3564,0.06,5.72,z
3565,0.09,6.92,x
3566,0.3,4.61,y
3567,0.64,5.08,y
3568,0.49,4,z
3569,0.56,4.57,x
3570,0.48,0,z
3571,0.2,9.51,z
3572,0.68,6.48,x
3573,0.43,9.37,y
3574,0.25,2.11,y
3575,0.15,5.26,y
3576,0.62,3.23,y
3577,0.58,4.54,x
3578,0.56,4.49,z
3579,0.02,7.53,z
3580,0.35,6.48,y
3581,0.38,1.66,z
3582,0.03,6.87,y
3583,0.68,5.58,z
3584,0.06,5.39,x
3585,0.04,7.15,z
3586,0.01,4.29,z
3587,0.21,5.79,y
3588,0.91,1.09,y
3589,0.34,4.52,y
3590,0.36,5.43,x
3591,0.87,7.44,y
3592,0.97,8.02,y
3593,0.98,3.68,y
3594,0.07,4.97,y
3595,0.46,2.05,y
3596,0.93,1.99,x
3597,0.13,6.17,y
3598,0.86,1.21,y
3599,0.52,7.23,x
3600,0.22,4.07,z
3601,0.43,3.37,y
3602,0.76,7.29,y
3603,0.59,6.04,y
3604,0.72,4.31,x
3605,0.28,8.28,z
3606,0.44,7.33,z
3607,0.75,5.77,x
3608,0.93,6.03,y
3609,0.07,4.87,z
3610,0.39,3.53,x
3611,0.13,5.96,z
3612,0.98,4.29,x
3613,0.16,5.86,z
3614,0.12,6,z
3615,0.79,2.48,z
3616,0.91,6.53,y
3617,0.6,7.13,y
3618,0.3,6.68,y
3619,0.23,7.62,y
3620,0.64,8.64,y
3621,0.28,5.73,x
3622,0.47,5.88,z
3623,0.92,4.03,z
3624,0.45,6.16,y
3625,0.18,5.8,z
3626,0.46,5.75,x
3627,0.87,4.38,z
3628,0.82,3.29,x
3629,0.95,1.89,z
3630,0.51,4.18,y
3631,0.11,4.89,y
3632,0.91,9.33,z
3633,0.95,5.36,x
3634,0.55,6.21,y
3635,0.41,6.89,y
3636,0.57,2.21,y
3637,0.94,6.34,y
3638,0.48,2.19,y
3639,0.44,1.5,z
3640,0.34,6.59,z
3641,0.06,5.39,y
3642,0.58,3.56,y
3643,0.17,4.38,y
3644,0.84,2.77,y
3645,0.28,6.76,y
3646,0.79,8.87,y
3647,0.73,-0.28,x
3648,0.84,2.34,y
3649,0.49,1.81,x
3650,0.96,4.31,y
3651,0.08,4.13,y
3652,0.64,3.99,y
3653,0.85,4.53,z
3654,0.56,3.17,y
3655,0.58,6.21,z
3656,0.94,8.06,x
3657,0.3,1.97,y
3658,0.47,7.85,x
3659,0.83,5.47,z
3660,0.16,6.14,x
3661,0.93,3.6,z
3662,0.19,4.26,z
3663,0.29,7.28,y
3664,0.26,3.93,z
3665,0.11,4.42,x
3666,0.08,6.14,y
3667,0.04,3.19,y
3668,0.92,5.49,z
3669,0.73,4.68,x
3670,0.28,6.86,z
3671,0.35,2.14,x
3672,0.87,3.1,y
3673,0.77,7.31,y
3674,0.99,3.18,x
3675,0.98,2.28,y
3676,0.34,3.76,x
3677,0.89,2.51,x
3678,0.64,5.72,x
3679,0.29,5.47,z
3680,0.28,4.3,z
3681,0.06,8,x
3682,1,3.68,x
3683,0.96,8.3,x
3684,0.14,2.73,z
3685,0.96,2.77,z
3686,0.27,1.56,y
3687,0.23,7.57,z
3688,0.81,2.32,y
3689,0.93,6.24,y
3690,0.82,7.94,x
3691,0.85,2.94,x
3692,0.85,3.01,x
3693,0.79,5.15,z
3694,0.73,3.2,y
3695,0.29,3.72,z
3696,0.73,5.63,y
3697,0.55,5.39,y
3698,0.19,8.61,y
3699,0.35,7.6,x
3700,0.67,1.51,z
3701,0.82,7.18,y
3702,0.35,4.35,y
3703,0.42,2.61,z
3704,1,5.88,y
3705,0.87,4.68,x
3706,0.77,1.86,z
3707,0.51,5.48,z
3708,0.8,6.61,z
3709,0.13,3.98,z
3710,0.01,9.35,z
3711,0.86,1.06,z
3712,0.09,6.95,x
3713,0.63,1.57,z
3714,0.16,8.25,y
3715,0.26,5.16,y
3716,0.28,4.26,y
3717,0.22,3.31,y
3718,0.29,2.33,z
3719,0.17,8.62,x
3720,0.74,6.27,z
3721,0.49,4.59,y
3722,0.41,8.68,y
3723,0.89,6.97,z
3724,0.38,9.38,z
3725,0.76,6.74,y
3726,0.88,6.3,y
3727,0.33,3.96,y
3728,0.02,3.16,z
3729,0.78,6.49,x
3730,0.47,6.98,x
3731,0.05,3.99,y
3732,0.81,5.23,x
3733,0.75,3.37,z
3734,0.86,5.99,y
3735,0.92,4.83,z
3736,0.42,3.98,x
3737,0.85,5.48,x
3738,0.33,3.6,y
3739,0.27,6.14,y
3740,0.36,5.66,y
3741,0.29,4.66,z
3742,0.33,3.3,z
3743,0.39,5.32,x
3744,0.34,5.57,z
3745,0.11,5.95,z
3746,0.09,4.13,x
3747,0.9,7.92,y
3748,0.42,2.01,z
3749,0.03,5.58,z
3750,0.59,6.78,z
3751,0.44,5.03,z
3752,0.29,3.01,x
3753,0.43,7.69,z
3754,0.13,6.59,z
3755,0.47,9.22,x
3756,0.05,4.75,x
3757,0.48,3.47,y
3758,0.35,5.7,x
3759,0.88,4.07,x
3760,0.96,-0.63,x
3761,0.33,7.71,z
3762,0.29,2.93,x
3763,0.97,0.73,y
3764,0.26,6.12,x
3765,0.81,6.05,x
3766,1,4.19,y
3767,0.86,6.75,x
3768,0.03,4.02,y
3769,0.04,4.88,x
3770,0.56,7.98,z
3771,0.22,3.42,x
3772,0.75,2.48,y
3773,0.55,5.93,x
3774,0.32,6.66,x
3775,0.2,7.73,y
3776,0.88,2.95,x
3777,0.16,2.03,z
3778,0.79,3.85,z
3779,0.92,5.63,z
3780,0.52,5.77,y
3781,0.02,3.6,z
3782,0.12,4.38,z
3783,0.22,8.17,x
3784,0.63,5.34,y
3785,0.72,5.1,y
3786,0.37,1.94,x
3787,0.43,4.6,x
3788,0.19,1.07,x
3789,0.17,4.23,x
3790,0.56,4.89,y
3791,0.95,6.06,x
3792,0.72,7.38,y
3793,0.61,4.56,y
3794,0.47,1.52,x
3795,0.03,7.2,z
3796,0.8,6.48,z
3797,0.33,10.24,y
3798,0.01,4.12,z
3799,0.94,7.03,y
3800,0.77,6.09,y
3801,0.98,2.53,y
3802,0.02,5.66,y
3803,0.75,3.37,x
3804,0.61,6.37,x
3805,0.51,6.48,x
3806,0.87,3.59,y
3807,0.01,4.6,y
3808,0.56,1.95,y
3809,0.92,7.52,z
3810,0.54,4.58,x
3811,0.23,5.39,z
3812,0,6.25,x
3813,0.67,3.28,z
3814,0.11,4.42,x
3815,0.11,5.98,y
3816,0.77,4.61,x
3817,0.73,5.38,z
3818,0.08,3.73,z
3819,0.01,5.49,x
3820,0.46,10.01,x
3821,0.99,4.75,x
3822,0.62,7.99,y
3823,0.24,8.48,y
3824,0.36,4.67,y
3825,0.74,2.59,x
3826,0.2,3.22,z
3827,0.03,5.17,y
3828,0.07,5.93,x
3829,0.58,5.7,z
3830,0.6,5.82,z
3831,0.98,6.98,x
3832,0.03,4.36,y
3833,0.86,3.59,x
3834,0.18,2.87,z
3835,0.66,7.31,y
3836,0.46,6.02,y
3837,0.32,6.1,x
3838,0.17,6.08,x
3839,0.43,2.92,x
3840,0.44,5.31,x
3841,1,5.04,x
3842,0.81,0.39,x
3843,0.34,6.91,z
3844,0.51,4.69,y
3845,0.29,7.76,x
3846,0.55,6.22,x
3847,0.27,0.99,y
3848,0.95,5.68,y
3849,0.13,8.55,x
3850,0.46,4.22,y
3851,0.65,3.18,y
3852,0.61,1.57,y
3853,0.57,6.64,z
3854,0.02,4.39,x
3855,0.88,4.62,x
3856,0.51,3.29,z
3857,0.67,7.49,x
3858,0.22,4.51,y
3859,0.1,3.69,x
3860,0.08,5.18,y
3861,0.38,3.82,y
3862,0.84,6.08,z
3863,0.54,4.95,x
3864,0.49,1.52,z
3865,0.99,6.05,z
3866,0.83,8.44,z
3867,0.15,6.21,z
3868,0.18,6.05,y
3869,0.41,1.14,z
3870,0.01,4.85,z
3871,0.79,4.12,y
3872,0.56,6.28,y
3873,0.27,6.77,x
3874,0.83,3.83,y
3875,0.32,7.87,z
3876,0.99,4.72,x
3877,0.24,5.79,x
3878,0.81,1.54,x
3879,0.04,2.39,y
3880,0.86,4.46,x
3881,0,2.97,y
3882,0.27,1.83,y
3883,0.46,4.9,z
3884,0.64,6.26,x
3885,0.1,4.99,x
3886,0.32,6.19,y
3887,0.58,6.73,y
3888,0.66,7.15,z
3889,0.79,6.55,x
3890,0.12,6.39,y
3891,0.23,5.7,z
3892,0.35,0.99,z
3893,0.46,6.8,y
3894,0.07,5.47,z
3895,0.24,4.77,x
3896,0.52,4.28,z
3897,0.5,9.18,y
3898,0.67,6.12,z
3899,0.2,2.84,x
3900,0.52,3.87,z
3901,0.25,7.87,z
3902,0.26,6.6,x
3903,0.8,5.41,y
3904,0.41,7.6,x
3905,0.27,3.61,z
3906,0.05,3.14,x
3907,0.81,8.16,z
3908,0.41,1.06,z
3909,0.59,0.72,y
3910,0.04,6.03,x
3911,0.29,3.55,x
3912,0.49,6.19,y
3913,0.29,5.53,x
3914,0.96,6.06,z
3915,0.63,3.57,y
3916,0.76,7.98,z
3917,0.23,8.53,x
3918,0.93,7.41,x
3919,0.88,4.64,z
3920,0.91,6.28,x
3921,0.39,6.1,z
3922,0.37,5.3,y
3923,0.29,3.56,y
3924,0.64,5.47,x
3925,0.39,6.64,x
3926,0.03,3.72,x
3927,0.58,5.22,z
3928,0.81,2.89,x
3929,0.57,4.39,z
3930,0.24,6.07,x
3931,0.11,5.8,y
3932,0.83,5.54,x
3933,0.94,3.98,z
3934,0.03,5.62,x
3935,0.04,4.11,z
3936,0.87,6.24,x
3937,0.35,5.58,y
3938,0.31,6.35,y
3939,0.87,5.65,z
3940,0.92,5.29,z
3941,0.49,4.86,x
3942,0.49,5.51,y
3943,0.19,2.12,x
3944,0.26,4.87,x
3945,0.35,5.21,y
3946,0.69,4.99,y
3947,0.14,4.48,x
3948,0.48,4.61,z
3949,0.83,4.33,z
3950,0.27,1.58,z
3951,0.78,2.81,y
3952,0.19,1.74,y
3953,0.39,7.83,z
3954,0.99,-0.37,x
3955,0.15,10.03,z
3956,0.17,2.77,x
3957,0.13,7.39,x
3958,0.71,6.88,z
3959,0.91,4.22,z
3960,0.42,3.09,x
3961,0.78,6.45,y
3962,0.15,0.2,z
3963,0.01,3.79,x
3964,0.08,3.37,x
3965,0.52,7.54,y
3966,0.45,4.12,y
3967,0.99,0.7,z
3968,0.08,6.06,y
3969,0.15,3.74,z
3970,0.07,2.08,x
3971,0.04,4.71,y
3972,0.75,5.84,y
3973,0.01,6.51,x
3974,0.41,5.49,y
3975,0.41,4.8,z
3976,0.98,1.91,y
3977,0.22,4.64,x
3978,0.74,2.83,y
3979,0.82,4.04,z
3980,0.95,2.31,x
3981,0.1,5.4,z
3982,0.69,3.46,z
3983,0.28,3.27,z
3984,0.8,5.36,z
3985,0.83,2.53,x
3986,0.68,6.77,x
3987,0.42,2.59,z
3988,0.34,2.17,z
3989,0.3,3.02,z
3990,0.82,7.3,z
3991,0.5,4.58,y
3992,0.5,5.1,x
3993,0.36,9.14,x
3994,0.85,6.08,z
3995,0.31,5.72,x
3996,0.21,5.39,z
3997,0.59,6.77,x
3998,0.84,8.57,y
3999,0.13,5.92,z
4000,0.38,6.77,z
4001,0.67,2.49,x
4002,0.19,2.14,x
4003,0.5,7.01,x
4004,0.03,5.06,z
4005,0.5,3.67,x
4006,0.95,3.05,z
4007,0.38,4.48,z
4008,0.7,4.41,z
4009,0.69,7.45,x
4010,0.48,3.75,x
4011,0.27,3.81,x
4012,0.76,5.88,z
4013,0.25,5.75,z
4014,0.52,5.76,y
4015,0.61,5.65,z
4016,0.1,3.64,y
4017,0.57,9.19,y
4018,0.02,1.73,z
4019,0.2,3.05,x
4020,0.42,6.89,x
4021,0.21,5.12,z
4022,0.38,5.5,y
4023,0.08,4.78,y
4024,0.14,4.42,z
4025,0.55,3.34,y
4026,0.66,6.08,y
4027,0.74,4.91,y
4028,0.38,6.19,x
4029,0.87,2.37,y
4030,0.8,3.31,x
4031,0.82,4.27,z
4032,0.9,7.5,x
4033,0.98,4.47,z
4034,0.27,4.81,y
4035,0.79,7.48,z
4036,0.19,7.7,x
4037,0,5.42,z
4038,0.56,4.38,z
4039,0.41,3.79,z
4040,0.92,-0.46,z
4041,0.52,5.61,y
4042,0.04,6.58,x
4043,0.57,3.1,y
4044,0.2,8.23,x
4045,0.43,4.48,z
4046,0.24,4.95,z
4047,0.99,5.91,y
4048,0.65,6.29,z
4049,0.78,2.26,x
4050,0.99,3.27,z
4051,0.82,5.65,y
4052,0.32,7.92,y
4053,0.1,4.38,y
4054,0.33,3.53,z
4055,0.02,5.23,y
4056,0.04,3.51,x
4057,0.78,3.18,x
4058,0.15,3.82,x
4059,0.04,3.32,y
4060,0.78,2.77,y
4061,0.02,2.99,z
4062,0.23,1.96,x
4063,0.85,8.17,x
4064,0.31,5.6,y
4065,0.77,8.54,y
4066,0.36,2.76,x
4067,0.19,3.04,y
4068,0.48,4.33,y
4069,0.25,0.02,y
4070,0.95,3.98,x
4071,0.21,3.62,y
4072,0.89,2.06,z
4073,0.96,4.77,y
4074,0.98,7.21,x
4075,0.07,4.24,x
4076,0.03,2.06,z
4077,0.44,3.94,y
4078,0.32,6.51,y
4079,0.72,5.6,x
4080,0.85,5.86,y
4081,0.49,7.93,y
4082,0.38,10.34,x
4083,0.42,5.26,z
4084,0.62,7.01,y
4085,0.42,5.23,z
4086,0.26,2.99,y
4087,0.98,4.76,z
4088,0.03,6.41,x
4089,0.26,8.99,x
4090,0.11,7.54,y
4091,0.24,6.15,y
4092,0.97,8.94,z
4093,0.85,2.25,y
4094,0.4,2.79,z
4095,0.48,2.85,y
4096,0.96,5.57,y
4097,0.96,6.6,y
4098,0.81,8.55,x
4099,0.66,4.83,y
4100,0.76,5.19,x
4101,0.71,6.49,x
4102,0.95,7.59,y
4103,0.98,4.29,z
4104,0.06,5.87,z
4105,0.25,3.38,y
4106,0.27,5.99,z
4107,0.91,9.21,z
4108,0.38,5.53,x
4109,0.28,3.35,x
4110,0.18,8.36,x
4111,0.47,4.55,z
4112,0.4,2.59,y
4113,0.13,4.82,y
4114,0.02,6.75,z
4115,0.62,2.52,x
4116,0.08,6.77,z
4117,0.66,2.6,z
4118,0.73,8.07,x
4119,0.07,4.45,y
4120,0.6,6.59,z
4121,0.09,1.44,x
4122,0.9,6.02,y
4123,0.74,5.64,y
4124,0.37,6.1,x
4125,0.43,5.24,y
4126,0.35,7.33,x
4127,0.02,3,z
4128,0.34,2.55,y
4129,0.37,3.24,z
4130,0.17,7.58,x
4131,0.66,4.06,x
4132,0.6,4.84,y
4133,0.14,3.75,x
4134,0.12,3.85,x
4135,0.52,7.99,z
4136,0.69,0.3,z
4137,0.26,5.94,z
4138,0.43,5.1,z
4139,0.92,4.27,z
4140,0.78,7.41,z
4141,0.58,6.17,y
4142,0.89,6.77,x
4143,0.72,4.63,z
4144,0.34,3.51,z
4145,1,2.01,y
4146,0.33,5.47,x
4147,0.86,7.4,x
4148,0.48,3.25,z
4149,0.41,5.92,y
4150,0.26,6.09,x
4151,0.32,4.96,z
4152,0.95,3.93,z
4153,0.66,8.36,x
4154,0.47,1.3,z
4155,0.34,4.25,z
4156,0.81,6.37,x
4157,0.88,6.91,y
4158,0.65,7.88,x
4159,0.79,7.78,y
4160,0.92,2.2,y
4161,0.65,6.68,z
4162,0.42,5.97,y
4163,0.63,7.7,x
4164,0,7.12,y
4165,0.68,7.06,z
4166,0.73,1.57,z
4167,0.48,5.7,x
4168,0.15,2.14,z
4169,0.64,6.96,x
4170,0.69,4.74,y
4171,0.59,7.06,x
4172,0.17,9.77,z
4173,0.04,6.6,z
4174,0.46,3.2,y
4175,0.17,6.98,y
4176,0.29,7.54,z
4177,0.33,6.68,x
4178,0.4,8.8,x
4179,0.59,1.67,x
4180,0.26,4.24,x
4181,0.75,0.81,y
4182,0.16,4.26,z
4183,0.63,4.63,z
4184,0.58,6.72,y
4185,0.84,5.02,z
4186,0.11,8.02,y
4187,0.17,2.47,y
4188,0.39,8.17,x
4189,0.41,5.21,z
4190,0.38,5.26,x
4191,0.01,3.83,x
4192,0.26,4.9,z
4193,0.86,5.31,z
4194,0.96,2.94,z
4195,0.25,7.45,x
4196,0.03,4.19,y
4197,0.26,8.44,z
4198,0.9,6.62,y
4199,0.97,5.35,x
4200,0.11,0.47,x
4201,0.76,4.1,y
4202,0.09,3.39,x
4203,0.14,2,y
4204,0.48,9.64,z
4205,0.68,5.48,z
4206,0.99,5.22,z
4207,0.13,5.51,z
4208,0.92,2.36,x
4209,0.56,5.06,z
4210,0.57,4.65,y
4211,0.89,6.6,z
4212,0.26,4.81,y
4213,0.97,6.27,y
4214,0.98,1.68,y
4215,0.62,2.58,y
4216,0.41,3.14,y
4217,0.78,7.79,y
4218,0.19,3.95,z
4219,0.26,3.11,y
4220,0.09,8.21,x
4221,0.22,4.27,y
4222,0.28,8.04,y
4223,0.21,5.41,z
4224,0.95,7.7,x
4225,0.9,3.26,y
4226,0.86,5.05,z
4227,0.09,2.07,y
4228,0.71,6.34,x
4229,0.21,1.85,z
4230,0.05,4.34,y
4231,0.93,5.96,y
4232,0.39,3.23,y
4233,0.68,5.72,y
4234,0.86,5.58,z
4235,0.06,0.73,y
4236,0.38,6.8,x
4237,0.59,6.72,z
4238,0.25,3.63,y
4239,0.34,6.71,z
4240,0.52,4.76,z
4241,0.8,6.49,y
4242,0.24,3.92,y
4243,0.12,5.09,x
4244,0.36,2.81,z
4245,0.92,3.56,z
4246,0.99,7.08,y
4247,0.59,7.13,z
4248,0.71,3.67,y
4249,0.97,3.74,z
4250,0.89,5.07,y
4251,0.35,4.75,y
4252,0.52,6.32,x
4253,0.53,4.8,y
4254,0.32,5.88,z
4255,0.27,7.28,x
4256,0.94,6.54,z
4257,0.57,3.19,x
4258,0.07,-1.48,z
4259,0.42,4.82,y
4260,0.93,6.31,x
4261,0.38,8.88,y
4262,0.41,7.27,z
4263,0.73,4.94,y
4264,0,4.34,x
4265,0.71,2.29,y
4266,0.19,6.26,z
4267,0.01,4.27,z
4268,0.34,5.86,z
4269,0.04,3.9,x
4270,0.98,3.94,y
4271,0.72,4.54,x
4272,0.47,7.19,x
4273,0.06,5.14,z
4274,0.07,3.15,y
4275,0.85,4.66,z
4276,0.39,1.74,z
4277,0.53,7.02,x
4278,0.18,6.38,x
4279,0.46,6.53,z
4280,0.06,1.14,x
4281,0.05,4.31,z
4282,0.25,4.78,z
4283,0.25,2.4,z
4284,0.03,2.63,x
4285,0.79,6.44,y
4286,1,7.21,z
4287,0.86,6.51,y
4288,0.61,6.05,y
4289,0.11,3.95,y
4290,0.73,4.23,y
4291,0.81,7.17,x
4292,0.12,7.13,z
4293,0.86,5.04,z
4294,0.9,6.5,z
4295,0.05,4.21,y
4296,0.7,4.35,x
4297,0.35,5.82,y
4298,0.17,4.16,z
4299,0.55,6.37,x
4300,0.46,2.59,z
4301,0.38,2.78,z
4302,0.34,4.24,y
4303,0.25,7.62,y
4304,0.9,2.56,x
4305,0.67,1.86,x
4306,0.44,2.89,x
4307,0.6,5.16,x
4308,0.86,6.03,x
4309,0.99,4.97,z
4310,0.5,3.23,y
4311,0.26,5.8,z
4312,0.38,5.02,z
4313,0.55,6.2,x
4314,0.46,7.42,x
4315,0.18,2.74,z
4316,0.19,8.35,x
4317,0.19,3.84,x
4318,0.31,6.51,x
4319,0.39,5.85,x
4320,0.08,4.81,z
4321,0.75,6.36,y
4322,0.34,6.66,x
4323,0.92,6.75,x
4324,0.36,2.98,x
4325,0.35,6.59,x
4326,0.41,1.46,x
4327,0.21,8.62,x
4328,0.99,5.62,y
4329,0.6,6.32,z
4330,0.56,4.91,z
4331,0.89,6.26,z
4332,0.07,3.42,x
4333,0.78,3.49,y
4334,0.82,6.95,y
4335,0.49,5.43,x
4336,0.39,6.53,y
4337,0.05,7.77,x
4338,0.92,8.3,z
4339,0.25,5.29,y
4340,0.52,3.42,z
4341,0.82,6.03,y
4342,0.95,8.73,z
4343,0.85,5.26,z
4344,0.49,7.6,z
4345,0.11,0.31,z
4346,0.29,0.69,x
4347,0.57,5.57,z
4348,0.98,0.1,x
4349,0.26,5.21,x
4350,0.09,5.27,x
4351,0.98,5.9,z
4352,0.66,4.74,x
4353,0.59,5.57,x
4354,0.16,5.36,z
4355,0.1,2.68,z
4356,0.88,2.14,y
4357,0.69,7.86,y
4358,0.67,8.21,y
4359,0.32,2.54,y
4360,0.33,4.97,z
4361,0.36,5.86,y
4362,0.14,2.18,z
4363,0.62,4.93,y
4364,0.81,6.76,x
4365,0.87,5.32,y
4366,0.14,7.81,z
4367,0.17,4.68,y
4368,0.22,4.35,x
4369,0.99,2.85,x
4370,0.66,5.54,x
4371,0.82,6.9,z
4372,0.77,4.42,z
4373,0.04,2.75,y
4374,0.04,2.62,z
4375,0.06,4.95,z
4376,0.58,4.25,z
4377,0.48,10.37,x
4378,0.12,3.71,z
4379,0.4,5.48,z
4380,0.26,3.55,y
4381,0.65,5.5,x
4382,0.91,4.84,z
4383,0.74,5.92,z
4384,0.84,4.14,z
4385,0.04,8,x
4386,0.42,6.95,x
4387,0.87,5.57,z
4388,0.18,1.24,z
4389,0.35,4.08,z
4390,0.62,6.58,x
4391,0.42,6.86,x
4392,0.94,4.45,y
